Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
316	316	000F	65AC	60CB	007C	FFBF	01A6	
317	317	0010	6F00	4CE3	007D	00C7	FFC0	
318	318	0011	7A2E	5CCF	007E	0184	FFE3	
319	319	0012	05F2	5088	007F	02B3	FF9B	
320	320	0013	112A	6788	0080	FFB9	FF3D	
321	321	0014	1A7A	6116	0081	FDEB	FE9A	
322	322	0015	20F8	7C48	0082	FFFD	0040	
323	323	0016	23E4	37E6	0083	FF0C	00ED	
324	324	0017	22E4	02B4	0084	FF47	00AE	
325	325	0018	1E2E	1B76	0085	0020	00F7	
326	326	0019	1632	112C	0086	FFFE	02FE	
327	327	001A	0BE2	2350	0087	03D8	FE29	
328	328	001B	0056	21CA	0088	00BC	0300	
329	329	001C	74AA	2C9A	0089	0015	FF86	
330	330	001D	6A22	1448	008A	FE9A	FE76	
331	331	001E	61FE	19BE	008B	009B	0013	
332	332	001F	5D10	0E2D	008C	FEA2	0095	
333	333	0020	5C02	72C9	008D	0152	FDBE	
334	334	0021	5ED4	78C3	008E	FF02	FEF1	
335	335	0022	653E	612B	008F	0275	FFA6	
336	336	0023	6E7A	6CFB	0090	010E	0048	
337	337	0024	798C	5CB9	0091	0305	FF6D	
338	338	0025	0554	5044	0092	016C	FFD9	
339	339	0026	10A0	6724	0093	0296	01FF	
340	340	0027	1A24	6082	0094	F5A3	FB4F	
341	341	0028	20E6	7BA2	0095	000A	024C	
342	342	0029	240A	3754	0096	000C	00DC	
343	343	002A	232A	0256	0097	FF4C	FFF0	
344	344	002B	1E88	1B4C	0098	00A7	FFB4	
345	345	002C	16C8	1146	0099	FF6B	00F6	
346	346	002D	0C86	23B2	009A	032F	FEED	
347	347	002E	00D6	223A	009B	0110	FE91	
348	348	002F	7506	2D04	009C	FF35	0003	
349	349	0030	6A60	14C0	009D	FF18	FF68	
350	350	0031	622C	1A44	009E	FEDC	FC7A	
351	351	0032	5D3E	0EC1	009F	01CB	00C0	
352	352	0033	5C1C	7343	00A0	FE17	014A	
353	353	0034	5EB4	7923	00A1	FF7A	FE13	
354	354	0035	64D0	618D	00A2	F3ED	0CF3	
355	355	0036	6DDA	6D4F	00A3	FDB6	0105	
356	356	0037	78EE	5CAD	00A4	FEED	000A	
357	357	0038	04DA	5FC8	00A5	FE8F	0155	
358	358	0039	102E	5654	00A6	FDE4	015B	
359	359	003A	19CA	6FB6	00A7	FE24	00AC	
360	360	003B	20A8	6B0E	00A8	00FA	FF76	
361	361	003C	23EE	16D6	00A9	FE19	FEB0	
362	362	003D	2344	01CE	00AA	0094	0083	
363	363	003E	1EDC	1ACE	00AB	00BF	0067	
364	364	003F	173C	10EA	00AC	0065	00DD	
365	365	0040	0D1E	2384	00AD	FE59	029F	
366	366	0041	0168	2254	00AE	FF1B	00A5	
367	367	0042	7584	2D64	00AF	0400	FB04	
368	368	0043	6ADC	1552	00B0	0258	FE82	
369	369	0044	628A	1AE6	00B1	0448	00A7	
370	370	0045	5D74	0F43	00B2	FEA5	0177	
371	371	0046	5BEE	73B5	00B3	FFCE	FE9A	
372	372	0047	5E3C	797B	00B4	00CB	0007	
373	373	0048	6444	61C5	00B5	034E	0003	
374	374	0049	6D6A	6D57	00B6	0034	0000	
375	375	004A	7882	5CA7	00B7	FE8B	FE5A	
376	376	004B	0456	5FC4	00B8	00BB	FECA	
377	377	004C	0F9E	5656	00B9	FF45	FF84	
378	378	004D	1948	6F8E	00BA	FDD5	FF90	
379	379	004E	204A	6A8E	00BB	FCC4	0042	
380	380	004F	23C0	163A	00BC	FFF8	0208	
381	381	0050	234C	013A	00BD	0A78	FE05	
382	382	0051	1F16	1A66	00BE	04BB	00F7	
383	383	0052	17B0	10B2	00BF	0172	0016	
384	384	0053	0DB6	2376	00C0	FE29	FEDE	
385	385	0054	0216	2262	00C1	0022	0013	
386	386	0055	7636	2DA0	00C2	FFBD	0029	
387	387	0056	6B5A	15B0	00C3	016C	FFEB	
388	388	0057	62E8	1B76	00C4	FE9C	FE23	
389	389	0058	5DA6	0FEB	00C5	02A7	FF88	
390	390	0059	5C04	7457	00C6	00E3	FF48	
391	391	005A	5E2A	79FB	00C7	01C0	FFA9	
392	392	005B	6416	6215	00C8	FF1D	FF30	
393	393	005C	6D08	6D77	00C9	0362	0051	
394	394	005D	780A	5C8B	00CA	FD6C	FB20	
395	395	005E	03BA	5F66	00CB	029B	04C0	
396	396	005F	0F14	75BE	00CC	00E2	01B1	
397	397	0060	18DE	6EEC	00CD	0026	FE93	
398	398	0061	2006	6A08	00CE	0080	FFC6	
399	399	0062	23BA	35CC	00CF	FFDC	00A8	
400	400	0063	238E	00D2	00D0	0368	FE34	
401	401	0064	1F66	1A0C	00D1	01AF	FDEB	
402	402	0065	17E4	1078	00D2	023A	FECF	
403	403	0066	0DDE	2366	00D3	00F9	FD62	
404	404	0067	026C	227E	00D4	00BE	FA9F	
405	405	0068	76C2	0DEE	00D5	0271	FAD0	
406	406	0069	6C08	1628	00D6	0168	FBA6	
407	407	006A	6358	1BFC	00D7	02EF	EC13	
408	408	006B	5DBA	0089	00D8	F64B	2996	
409	409	006C	5BC8	44E9	00D9	FC54	0BE2	
410	410	006D	5DD8	7A79	00DA	FD94	0500	
411	411	006E	63A8	6267	00DB	FE0E	0399	
412	412	006F	6C90	4D9D	00DC	FD96	0515	
413	413	0070	7760	5C71	00DD	FCD1	04EA	
414	414	0071	0318	5F34	00DE	FFFC	01F5	
415	415	0072	0E98	5578	00DF	FCD6	02DB	
416	416	0073	1892	6E90	00E0	0059	0316	
417	417	0074	1FE6	6980	00E1	FF65	01A4	
418	418	0075	23AA	751C	00E2	0038	02A5	
419	419	0076	23A4	002E	00E3	FD7A	0564	
420	420	0077	1FC2	1990	00E4	FCEB	0531	
421	421	0078	1870	1038	00E5	02E6	FC28	
422	422	0079	0E74	235E	00E6	FF8A	0024	
423	423	007A	02FA	22A8	00E7	040E	0140	
424	424	007B	7744	2E46	00E8	FEB4	0247	
